tag_side_px_min,tag_side_px_max,samples,mean_detected_count,min_detected_count,max_detected_count,mean_detection_rate
0,10,52,0.0,0,0,0.0
10,15,36,0.1111111111111111,0,1,0.0030864197530864196
15,20,20,7.6,1,16,0.2111111111111111
20,25,20,16.0,8,20,0.4444444444444444
25,30,12,19.0,6,26,0.5277777777777778
30,35,12,28.0,24,36,0.7777777777777778
35,45,12,22.666666666666668,8,36,0.6296296296296297
45,60,8,22.0,8,36,0.6111111111111112
60,80,12,36.0,36,36,1.0
80,120,4,24.0,24,24,0.6666666666666666
120,200,4,8.0,8,8,0.2222222222222222
