image,scale_factor,board_size_m,tag_size_m,distance_m,distance_over_tag_size,render_width_px,render_height_px,camera_x_m,camera_y_m,camera_z_m,camera_rot_x_rad,camera_rot_y_rad,camera_rot_z_rad,fx_px,fy_px,cx_px,cy_px
ratio_s0p5_r7p500.png,0.5,0.3048,0.03,0.22499999999999998,7.5,960,720,0.0,0.0,0.22499999403953552,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0
ratio_s0p5_r10p000.png,0.5,0.3048,0.03,0.3,10.0,960,720,0.0,0.0,0.30000001192092896,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0
ratio_s0p5_r13p333.png,0.5,0.3048,0.03,0.39999998999999997,13.333333,960,720,0.0,0.0,0.3999999761581421,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0
ratio_s0p5_r15p000.png,0.5,0.3048,0.03,0.44999999999999996,15.0,960,720,0.0,0.0,0.44999998807907104,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0
ratio_s0p5_r16p667.png,0.5,0.3048,0.03,0.5000000099999999,16.666667,960,720,0.0,0.0,0.5,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0
ratio_s0p5_r20p833.png,0.5,0.3048,0.03,0.62499999,20.833333,960,720,0.0,0.0,0.625,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0
ratio_s0p5_r26p667.png,0.5,0.3048,0.03,0.80000001,26.666667,960,720,0.0,0.0,0.800000011920929,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0
ratio_s0p5_r33p333.png,0.5,0.3048,0.03,0.9999999900000001,33.333333,960,720,0.0,0.0,1.0,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0
ratio_s1_r7p500.png,1.0,0.6096,0.06,0.44999999999999996,7.5,960,720,0.0,0.0,0.44999998807907104,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0
ratio_s1_r10p000.png,1.0,0.6096,0.06,0.6,10.0,960,720,0.0,0.0,0.6000000238418579,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0
ratio_s1_r13p333.png,1.0,0.6096,0.06,0.7999999799999999,13.333333,960,720,0.0,0.0,0.7999999523162842,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0
ratio_s1_r15p000.png,1.0,0.6096,0.06,0.8999999999999999,15.0,960,720,0.0,0.0,0.8999999761581421,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0
ratio_s1_r16p667.png,1.0,0.6096,0.06,1.0000000199999999,16.666667,960,720,0.0,0.0,1.0,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0
ratio_s1_r20p833.png,1.0,0.6096,0.06,1.24999998,20.833333,960,720,0.0,0.0,1.25,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0
ratio_s1_r26p667.png,1.0,0.6096,0.06,1.60000002,26.666667,960,720,0.0,0.0,1.600000023841858,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0
ratio_s1_r33p333.png,1.0,0.6096,0.06,1.9999999800000001,33.333333,960,720,0.0,0.0,2.0,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0
ratio_s2_r7p500.png,2.0,1.2192,0.12,0.8999999999999999,7.5,960,720,0.0,0.0,0.8999999761581421,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0
ratio_s2_r10p000.png,2.0,1.2192,0.12,1.2,10.0,960,720,0.0,0.0,1.2000000476837158,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0
ratio_s2_r13p333.png,2.0,1.2192,0.12,1.5999999599999999,13.333333,960,720,0.0,0.0,1.5999999046325684,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0
ratio_s2_r15p000.png,2.0,1.2192,0.12,1.7999999999999998,15.0,960,720,0.0,0.0,1.7999999523162842,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0
ratio_s2_r16p667.png,2.0,1.2192,0.12,2.0000000399999998,16.666667,960,720,0.0,0.0,2.0,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0
ratio_s2_r20p833.png,2.0,1.2192,0.12,2.49999996,20.833333,960,720,0.0,0.0,2.5,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0
ratio_s2_r26p667.png,2.0,1.2192,0.12,3.20000004,26.666667,960,720,0.0,0.0,3.200000047683716,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0
ratio_s2_r33p333.png,2.0,1.2192,0.12,3.9999999600000002,33.333333,960,720,0.0,0.0,4.0,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0
ratio_s10_r7p500.png,10.0,6.096,0.6,4.5,7.5,960,720,0.0,0.0,4.5,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0
ratio_s10_r10p000.png,10.0,6.096,0.6,6.0,10.0,960,720,0.0,0.0,6.0,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0
ratio_s10_r13p333.png,10.0,6.096,0.6,7.999999799999999,13.333333,960,720,0.0,0.0,8.0,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0
ratio_s10_r15p000.png,10.0,6.096,0.6,9.0,15.0,960,720,0.0,0.0,9.0,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0
ratio_s10_r16p667.png,10.0,6.096,0.6,10.0000002,16.666667,960,720,0.0,0.0,10.0,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0
ratio_s10_r20p833.png,10.0,6.096,0.6,12.4999998,20.833333,960,720,0.0,0.0,12.5,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0
ratio_s10_r26p667.png,10.0,6.096,0.6,16.0000002,26.666667,960,720,0.0,0.0,16.0,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0
ratio_s10_r33p333.png,10.0,6.096,0.6,19.9999998,33.333333,960,720,0.0,0.0,20.0,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0
